Longitude_E,Latitude_oc
-122.417668571897000,22.537566028152000
-109.170021329018990,15.953844136496000
-110.249232803431990,14.853639824279000
-107.888180383975000,14.809408639625000
-107.971580688645010,14.162199287849999
-108.583109210432000,14.762691509546000
-111.210540263050010,21.725430759792001
-110.793633831628000,20.175055377416999
-111.164561569197010,20.484446716127000
-110.524920362313000,20.750203618954000
-103.787028071489000,3.653268903271000
-101.801896897847000,7.162582856573000
-101.935957369357000,6.923827540646000
-97.269307890042001,12.646888247171001
-104.493346730122000,16.272526508761999
-127.220743379848000,17.707836718136001
-128.100477270015010,16.685264839740999
-127.962216777671000,16.698486471523001
-127.867776550660000,15.334391832571001
-127.335278362653990,16.369204445017999
-127.404001346340000,16.947242786937000
-117.635060671528000,16.292572037669000
-116.422690812838990,17.894989793444001
-115.050558032018000,17.149719704369002
-110.198979329794990,30.666668215382000
-112.004168058152000,29.657292640207000
-111.967713797719000,30.040554999895001
-109.238412968529000,28.758111355076998
-109.539400631465990,28.071327350697000
-109.059649577558010,27.857642739164000
-109.190188425849000,28.069664435431999
-108.589876015239990,28.235124504283998
-108.883380559485000,28.161124774998001
-108.860099745777010,28.436337251329999
-109.907427453022000,30.067839007499000
-109.801448542389000,29.533609254443999
-109.486949512487000,28.461895912509998
-109.861137204139000,27.838386411358002
-110.681756540781000,29.903887566032001
-110.278993951017990,26.667064315912000
-110.372570663290010,26.314832233549001
-109.763611581261000,25.532928772222999
-110.110312285296000,23.041068208559999
-110.172317976301000,22.551214152541998
-110.422013852442010,23.737572478720001
-110.824861530806000,24.352369217370999
-110.631692767000000,25.554308192162001
-109.821119685543000,27.037823107531999
-110.190665354977000,27.746378632231998
-109.802424289113010,24.680684156382998
-109.619676789009010,24.305841457960000
-109.697730069104000,23.634676726121000
-113.042141592633000,27.627050006173000
-113.143873475861990,27.589325951666002
-112.629958406548990,26.893246120179001
-112.219854152075000,25.989424122454999
-111.812616645788000,25.747661692051000
-114.020602615363000,28.355340783281999
-114.227850744985010,27.770550850273999
-113.199347027267000,25.432665429423999
-106.807257316476000,3.147380045076000
-106.766521596629000,2.720868154298000
-106.640085045411000,2.417064272076000
-106.899012855932990,2.233286073685000
-106.707082566916990,2.082719729946000
-106.540444534801000,2.186161746409000
-106.567512641540010,1.991342609743000
-106.522636569840000,2.101395833198000
-106.753071636426990,1.877015474698000
-106.213312218480000,0.327485083619000
-106.103773447346000,-1.016422672053000
-105.963209243926000,-1.417853775513000
-105.843392790161000,4.702683275474000
-105.940098998675000,4.665624326956000
-105.911157724595000,4.483153123300000
-105.727274751471000,4.447505944249000
-105.897731796960000,4.384258672111000
-105.814205240739990,4.282385387347000
-105.634301888882010,4.300456036529000
-105.941904494960990,3.875594995756000
-105.960376714125000,3.829414447846000
-105.828661760086010,3.591685018605000
-105.901345926796000,3.620598057297000
-105.774048242557000,3.284885552490000
-106.180035494184000,3.447521395129000
-106.024876239224990,3.042480061329000
-106.408154795291000,3.139279827800000
-106.298762605089000,3.282264895309000
-106.259140236984000,2.917050024081000
-106.133382286042010,2.873120876834000
-106.107422028388000,2.304955107600000
-106.118157507084010,2.738429880722000
-106.244967681476990,3.110314653550000
-106.273699028550990,2.604146353864000
-106.554916776819990,3.028180048197000
-106.442251009785000,2.642257756636000
-106.562483880576000,2.290807826630000
-105.888215259164990,2.072638972109000
-107.882614186951000,0.306465356489000
-107.272056977240000,1.422746423527000
-107.116748307044010,1.838197116303000
-107.015797671416000,1.681917766917000
-107.482209021600000,3.801773261858000
-107.139451414736000,2.786982096663000
-107.181450722043000,4.823519832421000
-105.555738049084000,5.127300120792000
-105.478812363409010,5.327593328972000
-105.439531162213000,5.271126602253000
-105.721357636737000,5.436926679179000
-105.474091648065000,5.503775696118000
-105.348255168066000,5.880386799894000
-104.908840271347000,5.058825080380000
-105.199819989848000,5.005895374068000
-105.059118474041000,5.675287457281000
-105.095355609360000,6.109995519623000
-105.198940053624990,6.259823019364000
-105.442903336464000,4.825851865168000
-105.450302077020000,4.508378634061000
-105.138882360912010,4.381523864173000
-105.216905443133000,4.499365622839000
-105.229819608467000,4.534341487283000
-105.207535106373000,4.660599313330000
-105.403782495776990,4.745020624600000
-105.390464762777000,4.793448744599000
-105.393429494145000,4.242546390232000
-105.046672981613000,3.066751349375000
-104.341178364979000,3.580796907709000
-113.843587031122000,25.740341966591998
-109.237084879866000,26.797966887516999
-109.394880427870010,26.969641202649001
-109.223206112738000,27.145539490385001
-108.578268212321010,-0.633356528564000
-108.468465964114000,-0.456888629661000
-108.447128648071000,-0.942888650396000
-108.119665733540000,-3.071146015092000
-108.290120775393010,-4.787497360785000
-108.419967646820990,-3.427353901170000
-109.028396401097990,-2.413623032961000
-108.984875182404000,-2.043692674068000
-109.007433055456000,-1.226450479079000
-109.254944354152000,-0.995431596230000
-109.463045813650990,0.219160576038000
-109.758317526145010,0.964087391308000
-109.908356030185000,-0.306490272414000
-109.963309295429990,-0.355997718581000
-109.885087530486000,-0.817407116857000
-110.038560613604010,-1.019397497218000
