Feature_ID,Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Feature_Type,Feature_Type_Code,Approval_Status,Approval_Date,Reference,Last_Updated
6173,"[Tyrrhena Mons]","Mars",107,-24.15,101.1,-23.14,-24.94,102.01,100.7,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Dropped","1991","57","5/18/12"
6598,"Xanthe Montes","Mars",499.32,18.13,305.08,22.06,14.67,307.69,301.84,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","2006","57","10/1/06"
6884,"[Peneus Mons]","Mars",0,-30.9,86.1,-30.9,-30.9,86.1,86.1,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Dropped","1991","57","3/1/07"
14179,"Thyles Montes","Mars",380,-69.88,126.54,-67.49,-73.08,136.05,119.17,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Sep 13, 2006","57","10/16/06"
14180,"Chronius Mons","Mars",56.14,-61.49,178.01,-61.02,-61.96,178.74,177.21,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Sep 13, 2006","57","7/24/08"
14181,"Promethei Mons","Mars",65.17,-70.57,87.44,-69.99,-71.16,88.67,86.28,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Sep 13, 2006","57","7/24/08"
14306,"Alba Mons","Mars",548.02,41.08,249.29,45.63,36.53,255.21,243.71,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Sep 19, 2007","57","9/19/07"
14307,"Apollinaris Mons","Mars",275.4,-9.17,174.79,-6.88,-11.47,176.4,172.66,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Sep 19, 2007","57","9/19/07"
14309,"Hadriacus Mons","Mars",450,-31.29,91.86,-28.12,-35.09,95.22,88.7,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Sep 19, 2007","57","9/19/07"
14310,"Tyrrhenus Mons","Mars",269.77,-21.63,105.88,-19.52,-23.48,108.29,103.46,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Sep 19, 2007","57","12/16/09"
14312,"Uranius Mons","Mars",265.17,26.9,267.85,29.06,24.59,270.08,265.46,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Sep 19, 2007","57","6/27/08"
14573,"Syria Mons","Mars",73.47,-13.88,255.73,-13.27,-14.49,256.28,255.17,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Jul 6, 2009","57","7/6/09"
15000,"Aeolis Mons","Mars",88.99,-5.08,137.85,-4.46,-5.61,138.62,137.11,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","May 16, 2012","71","5/16/12"
15090,"Aonia Mons","Mars",27.07,-53.33,272.08,-53.16,-53.48,272.45,271.68,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Mar 4, 2013","57","3/4/13"
15160,"Electris Mons","Mars",104.47,-45.67,152.73,-44.99,-46.28,154,151.49,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Aug 12, 2013","57","8/12/13"
15161,"Eridania Mons","Mars",143.29,-57.02,137.86,-55.9,-58.08,140.07,135.61,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Aug 12, 2013","57","8/12/13"
15162,"Sirenum Mons","Mars",122.86,-38.22,212.15,-37.27,-39.09,213.49,210.85,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Aug 12, 2013","57","8/12/13"
15236,"Argyre Mons","Mars",60.58,-50.37,311.91,-49.87,-50.89,312.58,311.27,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","Feb 18, 2014","71","2/18/14"
15326,"Coprates Montes","Mars",350,-13,294.61,-11.94,-13.94,297.08,291.12,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","May 26, 2015","57","5/26/15"
15327,"Nectaris Montes","Mars",220,-14.64,305.35,-14.1,-15.08,307.38,303.69,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","May 26, 2015","57","5/26/15"
